"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2018","70.44","70.44","70.44","70.44","","-0.16%"
"05/01/2018","70.55","70.55","70.55","70.55","","3.34%"
"04/30/2018","68.27","68.27","68.27","68.27","","-0.01%"
"04/27/2018","68.28","68.28","68.28","68.28","","0.00%"
"04/26/2018","68.28","68.28","68.28","68.28","","0.18%"
"04/25/2018","68.16","68.16","68.16","68.16","0.01K","-0.06%"
"04/24/2018","68.20","68.20","68.20","68.20","","-0.31%"
"04/23/2018","68.41","68.41","68.41","68.41","","0.18%"
"04/20/2018","68.29","68.29","68.29","68.29","","0.16%"
"04/19/2018","68.18","68.18","68.18","68.18","","0.03%"
"04/18/2018","68.16","68.16","68.16","68.16","","1.16%"
"04/17/2018","67.38","67.38","67.38","67.38","","0.19%"
"04/16/2018","67.25","67.25","67.25","67.25","0.01K","-0.81%"
"04/13/2018","67.80","67.80","67.80","67.80","0.00K","0.21%"
"04/12/2018","67.66","67.66","67.66","67.66","","-0.18%"
"04/11/2018","67.78","67.78","67.78","67.78","","0.76%"
"04/10/2018","67.27","67.27","67.27","67.27","","2.19%"
"04/09/2018","65.83","65.83","65.83","65.83","","1.83%"
"04/06/2018","64.65","64.65","64.65","64.65","","-1.24%"
"04/05/2018","65.46","65.46","65.46","65.46","","0.44%"
"04/04/2018","65.17","65.17","65.17","65.17","","0.02%"
"04/03/2018","65.16","65.16","65.16","65.16","","0.84%"
"04/02/2018","64.62","64.62","64.62","64.62","","3.01%"
"03/29/2018","62.73","62.73","62.73","62.73","","0.08%"
"03/28/2018","62.68","62.68","62.68","62.68","0.00K","-0.13%"
"03/27/2018","62.76","62.76","62.76","62.76","","-0.02%"
"03/26/2018","62.77","62.77","62.77","62.77","","-0.11%"
"03/23/2018","62.84","62.84","62.84","62.84","","0.35%"
"03/22/2018","62.62","62.62","62.62","62.62","","-0.35%"
"03/21/2018","62.84","62.84","62.84","62.84","","0.92%"
"03/20/2018","62.27","62.27","62.27","62.27","","0.66%"
"03/19/2018","61.86","61.86","61.86","61.86","0.01K","-0.16%"
"03/16/2018","61.96","61.96","61.96","61.96","","0.78%"
"03/15/2018","61.48","61.48","61.48","61.48","","0.20%"
"03/14/2018","61.36","61.36","61.36","61.36","0.01K","0.31%"
"03/13/2018","61.17","61.17","61.17","61.17","","-0.24%"
"03/12/2018","61.32","61.32","61.32","61.32","0.01K","-0.60%"
"03/09/2018","61.69","61.69","61.69","61.69","","2.07%"
"03/08/2018","60.44","60.44","60.44","60.44","","-0.77%"
"03/07/2018","60.91","60.91","60.91","60.91","","-2.09%"
"03/06/2018","62.21","62.21","62.21","62.21","","0.44%"
"03/05/2018","61.94","61.94","61.94","61.94","","1.69%"
"03/02/2018","60.91","60.91","60.91","60.91","","0.86%"
"03/01/2018","60.39","60.39","60.39","60.39","","-3.71%"
"02/28/2018","62.72","62.72","62.72","62.72","","0.00%"
"02/27/2018","62.72","62.72","62.72","62.72","","-0.05%"
"02/26/2018","62.75","62.75","62.75","62.75","","0.00%"
"02/23/2018","62.75","62.75","62.75","62.75","","0.21%"
"02/22/2018","62.62","62.62","62.62","62.62","","0.24%"
"02/21/2018","62.47","62.47","62.47","62.47","","0.06%"
"02/20/2018","62.43","62.43","62.43","62.43","","0.24%"
"02/16/2018","62.28","62.28","62.28","62.28","","0.00%"
"02/15/2018","62.28","62.28","62.28","62.28","","0.37%"
"02/14/2018","62.05","62.05","62.05","62.05","","1.24%"
