Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20160126,5.62,0.5,0.47
20160127,-0.91,-0.07,-0.1
20160128,3.11,0.29,0.25
20160129,0.46,0.2,0.02
20160130,0.46,0.2,0.02
20160131,-3.97,-0.5,-0.36
20160201,-5.62,-0.43,-0.5
20160202,-4.12,-0.33,-0.37
20160203,-0.36,-0.09,-0.05
20160204,2.4,0.23,0.19
20160205,2.15,0.6,0.17
20160206,2.15,0.6,0.17
20160207,1.88,0.14,0.15
20160208,2.97,0.27,0.24
20160209,-6.69,-0.64,-0.59
20160210,-3.61,-0.29,-0.33
20160211,2.15,0.17,0.17
20160212,0.68,0.2,0.04
20160213,0.68,0.2,0.04
20160214,-7.13,-0.64,-0.63
20160215,0.58,0.08,0.03
20160216,1.33,0.18,0.1
20160217,2.09,0.29,0.16
20160218,-0.26,-0.08,-0.04
20160219,-2.18,-0.33,-0.21
20160220,-2.18,-0.33,-0.21
20160221,-1.54,-0.14,-0.15
20160222,-1.16,-0.08,-0.12
20160223,-0.94,-0.08,-0.1
20160224,-3.98,-0.33,-0.36
20160225,-1.68,0.0,-0.16
20160226,-0.87,-0.14,-0.09
20160227,0.99,1.0,0.07
20160228,-1.06,-0.14,-0.11
20160229,5.31,0.33,0.44
20160301,1.83,0.12,0.14
20160302,-7.28,-0.5,-0.65
20160303,7.41,0.47,0.62
20160304,0.53,0.14,0.03
20160305,0.53,0.14,0.03
20160306,-0.29,0.0,-0.04
20160307,4.75,0.38,0.39
20160308,-3.97,-0.29,-0.36
20160309,-6.75,-0.37,-0.6
20160310,-4.13,-0.29,-0.37
20160311,5.37,0.75,0.45
20160312,0.12,1.0,-0.01
20160313,0.22,0.0,0.0
20160314,-6.52,-0.37,-0.58
20160315,-4.66,-0.38,-0.42
20160316,3.39,0.29,0.28
20160317,7.42,0.83,0.62
20160318,-3.51,-0.33,-0.32
20160319,-3.51,-0.33,-0.32
20160320,-2.66,-0.6,-0.25
20160321,-0.16,0.0,-0.03
20160322,-1.98,-0.38,-0.19
20160323,-8.55,-0.6,-0.76
20160324,-8.94,-0.83,-0.79
20160325,-8.94,-0.83,-0.79
20160326,-8.94,-0.83,-0.79
20160327,-0.44,-0.33,-0.05
20160328,-1.23,-0.09,-0.12
20160329,-1.93,-0.25,-0.18
20160330,1.5,0.25,0.11
20160331,-6.67,-0.54,-0.59
20160401,-1.51,-0.33,-0.15
20160402,-0.7,-1.0,-0.08
20160403,-2.76,-1.0,-0.26
20160404,-5.32,-0.4,-0.48
20160405,2.8,0.2,0.23
20160406,4.08,0.45,0.34
20160407,2.39,0.33,0.19
20160408,5.78,0.75,0.48
20160409,-0.37,-1.0,-0.05
20160410,2.43,0.43,0.19
20160411,-1.1,-0.2,-0.11
20160412,1.61,0.08,0.12
20160413,-4.57,-0.56,-0.41
20160414,-5.02,-0.29,-0.45
20160415,2.84,1.0,0.23
20160416,0.67,0.0,0.04
20160417,-0.89,0.0,-0.09
20160418,-2.51,-0.27,-0.23
20160419,1.51,0.11,0.11
20160420,-0.32,0.12,-0.04
20160421,4.12,0.5,0.34
20160422,1.93,0.33,0.15
20160423,0.92,1.0,0.06
20160424,-1.15,-0.2,-0.12
20160425,-0.9,-0.17,-0.09
20160426,4.95,0.45,0.41
20160427,6.56,0.64,0.55
20160428,-0.93,0.0,-0.1
20160429,1.16,0.0,0.08
20160430,0.62,1.0,0.04
20160501,-1.64,-0.2,-0.16
20160502,-1.41,-0.08,-0.14
20160503,-2.71,-0.23,-0.25
20160504,2.29,0.33,0.18
20160505,7.06,0.53,0.59
20160506,1.11,0.14,0.08
20160507,-0.75,-1.0,-0.08
20160508,1.43,0.33,0.11
20160509,-4.88,-0.38,-0.44
20160510,3.99,0.29,0.33
20160511,-1.18,-0.27,-0.12
20160512,-5.12,-0.29,-0.46
20160513,-2.08,-0.25,-0.2
20160514,-2.08,-0.25,-0.2
20160515,0.3,0.14,0.01
20160516,8.52,0.57,0.72
20160517,6.64,0.64,0.56
20160518,-4.55,-0.4,-0.41
20160519,-4.41,-0.38,-0.4
20160520,-0.91,-0.33,-0.1
20160521,0.99,1.0,0.07
20160522,-1.44,-0.14,-0.14
20160523,-10.65,-0.71,-0.94
20160524,1.67,0.07,0.13
20160525,1.25,0.12,0.09
20160526,1.58,0.07,0.12
20160527,-6.22,-0.6,-0.55
20160528,-6.22,-0.6,-0.55
20160529,-1.6,-0.6,-0.16
20160530,-4.98,-0.45,-0.45
20160531,1.8,0.07,0.14
20160601,-3.7,-0.23,-0.34
20160602,0.75,0.08,0.05
20160603,-0.04,0.11,-0.02
20160604,-0.04,0.11,-0.02
20160605,1.2,0.0,0.09
20160606,4.77,0.5,0.4
20160607,5.16,0.29,0.43
20160608,4.42,0.2,0.37
20160609,-3.56,-0.33,-0.32
20160610,-3.53,-0.33,-0.32
20160611,-3.53,-0.33,-0.32
20160612,0.46,0.14,0.02
20160613,-2.85,-0.17,-0.26
20160614,-4.66,-0.45,-0.42
20160615,-3.0,-0.4,-0.28
20160616,-1.14,0.0,-0.12
20160617,0.95,0.0,0.07
20160618,0.95,0.0,0.07
20160619,0.48,0.2,0.02
20160620,4.64,0.38,0.38
20160621,-4.81,-0.33,-0.43
20160622,2.34,0.12,0.19
20160623,-2.05,-0.2,-0.19
20160624,-5.23,-0.78,-0.47
20160625,0.92,1.0,0.06
20160626,-0.55,-0.5,-0.06
20160627,3.2,0.23,0.26
20160628,4.98,0.45,0.41
20160629,0.1,0.0,-0.01
20160630,-0.4,-0.07,-0.05
20160701,2.31,0.43,0.18
20160702,0.02,0.0,-0.02
20160703,-2.04,-0.5,-0.19
20160704,0.62,0.0,0.04
20160705,-2.35,-0.07,-0.22
20160706,2.76,0.29,0.22
20160707,-1.52,-0.12,-0.15
20160708,2.55,0.43,0.2
20160709,2.55,0.43,0.2
20160710,-0.91,-0.2,-0.1
20160711,-1.23,-0.08,-0.12
20160712,0.62,0.0,0.04
20160713,7.47,0.53,0.63
20160714,-2.52,-0.14,-0.23
20160715,-3.01,-0.43,-0.28
20160716,-3.01,-0.43,-0.28
20160717,-1.83,-0.33,-0.17
20160718,-5.01,-0.6,-0.45
20160719,2.74,0.33,0.22
20160720,-3.49,-0.38,-0.32
20160721,1.06,0.14,0.07
20160722,-0.93,-0.14,-0.1
20160723,1.0,1.0,0.07
20160724,-2.06,-0.5,-0.19
20160725,-5.86,-0.64,-0.52
20160726,-8.5,-0.69,-0.75
20160727,-6.68,-0.57,-0.59
20160728,0.0,0.0,-0.02
20160729,-6.18,-0.43,-0.55
20160730,-6.18,-0.43,-0.55
20160731,-2.4,-0.33,-0.22
20160801,-0.83,0.0,-0.09
20160802,-0.06,-0.09,-0.02
20160803,3.68,0.45,0.3
20160804,2.89,0.33,0.23
20160805,-2.77,-0.6,-0.26
20160806,-2.77,-0.6,-0.26
20160807,0.47,0.2,0.02
20160808,-0.66,-0.09,-0.07
20160809,-3.47,-0.33,-0.32
20160810,-2.97,-0.2,-0.27
20160811,-2.7,-0.23,-0.25
20160812,-1.15,0.0,-0.12
20160813,-1.15,0.0,-0.12
20160814,1.25,0.33,0.09
20160815,6.09,0.54,0.51
20160816,2.7,0.23,0.22
20160817,-7.07,-0.47,-0.63
20160818,6.49,0.64,0.54
20160819,-0.31,-0.14,-0.04
20160820,-0.31,-0.14,-0.04
20160821,-2.65,-0.43,-0.25
20160822,-3.22,-0.33,-0.3
20160823,-4.56,-0.33,-0.41
20160824,-8.02,-0.67,-0.71
20160825,-5.73,-0.4,-0.51
20160826,0.63,0.0,0.04
20160827,0.63,0.0,0.04
20160828,-4.52,-0.67,-0.41
20160829,-1.64,-0.17,-0.16
20160830,-3.77,-0.33,-0.34
20160831,-2.38,-0.14,-0.22
